organization,package,first_commit_date,last_commit_date,commit_count,first_month
swift-primitives,swift-abi-primitives,2026-01-11 21:52:56 +0100,2026-04-09 15:11:19 +0200,11,2026-01
swift-primitives,swift-abstract-syntax-tree-primitives,2026-01-19 22:24:31 +0100,2026-04-09 15:11:20 +0200,7,2026-01
swift-primitives,swift-affine-geometry-primitives,2026-01-21 08:42:02 +0100,2026-04-08 10:47:38 +0200,11,2026-01
swift-primitives,swift-affine-primitives,2026-01-09 17:29:00 +0100,2026-04-08 10:47:38 +0200,49,2026-01
swift-primitives,swift-algebra-affine-primitives,2026-02-06 13:39:46 +0100,2026-04-09 15:11:22 +0200,10,2026-02
swift-primitives,swift-algebra-cardinal-primitives,2026-02-06 13:39:43 +0100,2026-04-09 15:11:23 +0200,9,2026-02
swift-primitives,swift-algebra-field-primitives,2026-02-04 18:02:36 +0100,2026-04-09 15:11:25 +0200,9,2026-02
swift-primitives,swift-algebra-group-primitives,2026-02-04 18:02:36 +0100,2026-04-09 15:11:26 +0200,10,2026-02
swift-primitives,swift-algebra-law-primitives,2026-02-04 18:02:36 +0100,2026-04-09 15:11:27 +0200,12,2026-02
swift-primitives,swift-algebra-linear-primitives,2026-01-09 17:29:00 +0100,2026-04-09 15:11:28 +0200,27,2026-01
swift-primitives,swift-algebra-magma-primitives,2026-02-04 18:02:36 +0100,2026-04-09 15:11:29 +0200,8,2026-02
swift-primitives,swift-algebra-modular-primitives,2026-03-12 14:17:11 +0100,2026-04-08 10:47:38 +0200,6,2026-03
swift-primitives,swift-algebra-module-primitives,2026-02-04 18:02:36 +0100,2026-04-09 15:11:30 +0200,9,2026-02
swift-primitives,swift-algebra-monoid-primitives,2026-02-04 18:02:36 +0100,2026-04-09 15:11:31 +0200,9,2026-02
swift-primitives,swift-algebra-primitives,2026-01-09 17:29:00 +0100,2026-04-10 18:29:02 +0200,45,2026-01
swift-primitives,swift-algebra-ring-primitives,2026-02-04 18:02:36 +0100,2026-04-09 15:11:33 +0200,8,2026-02
swift-primitives,swift-algebra-semiring-primitives,2026-02-04 18:02:36 +0100,2026-04-09 15:11:34 +0200,8,2026-02
swift-primitives,swift-array-primitives,2026-01-19 22:24:31 +0100,2026-04-08 10:47:38 +0200,170,2026-01
swift-primitives,swift-ascii-parser-primitives,2026-03-05 07:03:40 +0100,2026-04-09 15:11:36 +0200,11,2026-03
swift-primitives,swift-ascii-primitives,2026-01-21 19:38:47 +0100,2026-04-09 15:11:37 +0200,20,2026-01
swift-primitives,swift-ascii-serializer-primitives,2026-03-05 07:03:45 +0100,2026-04-08 12:45:36 +0200,11,2026-03
swift-primitives,swift-async-primitives,2026-01-09 17:29:01 +0100,2026-04-13 12:46:40 +0200,114,2026-01
swift-primitives,swift-backend-primitives,2026-01-19 22:24:30 +0100,2026-04-09 15:11:38 +0200,8,2026-01
swift-primitives,swift-base62-primitives,2025-11-27 12:59:47 +0100,2026-04-09 15:11:39 +0200,35,2025-11
swift-primitives,swift-binary-parser-primitives,2026-01-29 15:23:41 +0100,2026-04-08 10:47:57 +0200,39,2026-01
swift-primitives,swift-binary-primitives,2026-01-09 17:29:01 +0100,2026-04-08 10:47:57 +0200,52,2026-01
swift-primitives,swift-bit-index-primitives,2026-02-03 13:30:38 +0100,2026-04-09 15:11:40 +0200,10,2026-02
swift-primitives,swift-bit-pack-primitives,2026-02-03 13:30:42 +0100,2026-04-09 15:11:42 +0200,17,2026-02
swift-primitives,swift-bit-primitives,2026-01-11 21:52:56 +0100,2026-04-09 15:11:44 +0200,49,2026-01
swift-primitives,swift-bit-vector-primitives,2026-02-03 13:30:45 +0100,2026-04-08 10:47:57 +0200,41,2026-02
swift-primitives,swift-bitset-primitives,2026-02-10 11:36:51 +0100,2026-04-09 15:11:45 +0200,12,2026-02
swift-primitives,swift-buffer-primitives,2026-01-09 17:29:01 +0100,2026-04-09 15:11:46 +0200,202,2026-01
swift-primitives,swift-cache-primitives,2026-01-17 18:01:17 +0100,2026-04-08 10:48:23 +0200,25,2026-01
swift-primitives,swift-cardinal-primitives,2026-01-26 22:00:29 +0100,2026-04-08 10:48:23 +0200,29,2026-01
swift-primitives,swift-clock-primitives,2026-01-09 17:29:02 +0100,2026-04-09 15:11:47 +0200,27,2026-01
swift-primitives,swift-coder-primitives,2026-01-21 19:38:54 +0100,2026-04-09 15:11:48 +0200,11,2026-01
swift-primitives,swift-collection-primitives,2026-01-09 17:29:02 +0100,2026-04-09 15:11:49 +0200,55,2026-01
swift-primitives,swift-comparison-primitives,2026-01-21 19:38:57 +0100,2026-04-09 15:11:51 +0200,33,2026-01
swift-primitives,swift-complex-primitives,2026-01-12 18:15:42 +0100,2026-04-09 15:11:52 +0200,17,2026-01
swift-primitives,swift-continuation-primitives,2026-01-21 19:39:00 +0100,2026-04-09 15:11:53 +0200,11,2026-01
swift-primitives,swift-cpu-primitives,2026-01-10 16:50:53 +0100,2026-04-09 15:11:54 +0200,21,2026-01
swift-primitives,swift-cyclic-index-primitives,2026-01-29 14:55:17 +0100,2026-04-09 15:11:55 +0200,11,2026-01
swift-primitives,swift-cyclic-primitives,2026-01-26 18:45:43 +0100,2026-04-08 10:48:23 +0200,17,2026-01
swift-primitives,swift-decimal-primitives,2026-01-11 10:27:21 +0100,2026-04-09 15:11:57 +0200,18,2026-01
swift-primitives,swift-dependency-primitives,2026-01-17 09:41:14 +0100,2026-04-09 15:11:59 +0200,23,2026-01
swift-primitives,swift-diagnostic-primitives,2026-01-19 22:24:31 +0100,2026-04-09 15:12:00 +0200,9,2026-01
swift-primitives,swift-dictionary-primitives,2026-01-19 22:24:31 +0100,2026-04-08 10:48:23 +0200,66,2026-01
swift-primitives,swift-dimension-primitives,2026-01-09 17:29:02 +0100,2026-04-08 10:48:23 +0200,36,2026-01
swift-primitives,swift-driver-primitives,2026-01-19 22:24:31 +0100,2026-04-09 15:12:01 +0200,8,2026-01
swift-primitives,swift-effect-primitives,2026-01-17 09:09:44 +0100,2026-04-09 15:12:02 +0200,16,2026-01
swift-primitives,swift-endian-primitives,2026-01-11 21:52:57 +0100,2026-04-09 15:12:03 +0200,10,2026-01
swift-primitives,swift-equation-primitives,2026-01-21 19:39:03 +0100,2026-04-09 15:12:04 +0200,22,2026-01
